year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over.1,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over.1,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race.1,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and.1,race_total_population_one_race_american_indian_and.2,race_total_population_one_race_american_indian_and.3,race_total_population_one_race_american_indian_and.4,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and.1,race_total_population_one_race_native_hawaiian_and.2,race_total_population_one_race_native_hawaiian_and.3,race_total_population_one_race_native_hawaiian_and.4,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races.1,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_.1,race_total_population_two_or_more_races_white_and_.2,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe.1,race_alone_or_in_combination_with_one_or_more_othe.2,race_alone_or_in_combination_with_one_or_more_othe.3,race_alone_or_in_combination_with_one_or_more_othe.4,race_alone_or_in_combination_with_one_or_more_othe.5,race_alone_or_in_combination_with_one_or_more_othe.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_.1,citizen_voting_age_population_citizen_18_and_over_.2
2021,Autauga County,Alabama,58239,28206,30033,93.9,3318,3716,4004,3939,3648,7427,7751,8004,4164,3453,5218,2674,923,38.5,13801,46577,44438,42555,10726,8815,44438,21304,23134,92.1,8815,3919,4896,80.0,58239,56166,2073,56166,43755,11470,98,54,0,0,18,647,71,1,1,59,218,40,243,16,0,0,0,0,0,0,196,2073,390,347,232,34,58239,45538,12187,479,1093,0,1080,58239,1775,881,508,194,192,56464,42571,11464,98,647,0,109,1575,377,1198,24170,43906,21018,22888
2021,Baldwin County,Alabama,227131,110781,116350,95.2,12035,11730,16407,13801,11181,24940,27702,29535,15999,16996,28670,13981,4154,43.4,49026,183804,178105,170489,57258,46805,178105,85668,92437,92.7,46805,21795,25010,87.1,227131,219535,7596,219535,192034,19895,1259,174,0,0,60,2175,292,1,3,453,179,460,214,182,395,9,0,9,0,0,4163,7596,788,2008,952,13,227131,199259,21232,3526,3313,591,7128,227131,10634,5835,1064,615,3120,216497,187548,19749,1076,2175,9,959,4981,614,4367,121763,174686,83847,90839
2021,Barbour County,Alabama,25259,13361,11898,112.3,1320,1601,1422,1487,1434,3551,3193,3195,1540,1715,2884,1492,425,40.2,5264,20639,19995,18956,5869,4801,19995,10746,9249,116.2,4801,2084,2717,76.7,25259,24641,618,24641,11495,11985,77,7,0,6,0,106,57,1,5,2,9,12,2,17,7,1,1,0,0,0,977,618,49,87,27,99,25259,11966,12278,353,164,31,1213,25259,1176,932,77,0,167,24083,11268,11934,71,106,1,229,474,92,382,11667,19623,10571,9052
2021,Bibb County,Alabama,22412,12300,10112,121.6,1196,1274,1230,1463,1192,3334,3062,3075,1584,1408,2144,1137,313,39.7,4612,18333,17800,16893,4456,3594,17800,9780,8020,121.9,3594,1629,1965,82.9,22412,22111,301,22111,17020,5003,21,9,0,0,0,46,46,1,7,0,0,0,0,0,0,0,0,0,0,0,21,301,19,171,3,0,22412,17297,5046,211,61,0,117,22412,634,244,229,25,136,21778,16596,4905,21,46,0,18,192,22,170,9013,17682,9690,7992
2021,Blount County,Alabama,58884,29530,29354,100.6,3467,3578,4194,3591,3386,7032,7137,7834,4064,4017,6235,3218,1131,41.1,13683,46871,45201,43416,13055,10584,45201,22357,22844,97.9,10584,4726,5858,80.7,58884,56921,1963,56921,54439,760,189,48,0,0,0,216,92,1,9,66,9,18,31,0,0,74,38,36,0,0,1243,1963,259,641,61,48,58884,56330,1158,967,277,197,2051,58884,5612,4970,85,51,506,53272,50595,746,70,216,74,92,1479,466,1013,24527,43633,21535,22098
2021,Bullock County,Alabama,10386,5658,4728,119.7,558,622,884,876,569,1126,1329,1318,628,794,1025,449,208,38.7,2303,8188,8083,7436,2112,1682,8083,4424,3659,120.9,1682,732,950,-666666666.0,10386,10193,193,10193,2572,7164,0,0,0,0,0,46,0,1,11,0,0,0,0,0,46,0,0,0,0,0,411,193,16,16,0,0,10386,2705,7240,16,106,0,512,10386,888,776,112,0,0,9498,2116,7164,0,46,0,0,172,80,92,4522,8003,4344,3659
2021,Butler County,Alabama,19181,8974,10207,87.9,1087,1073,1470,1128,1039,2181,2434,2131,1236,1410,2361,1168,463,41.2,4365,15232,14816,14042,4864,3992,14816,6699,8117,82.5,3992,1641,2351,69.8,19181,18847,334,18847,9894,8592,47,1,0,0,0,280,212,1,13,0,25,0,43,0,0,0,0,0,0,0,34,334,86,73,20,1,19181,10213,8679,135,300,0,188,19181,308,284,0,0,24,18873,9767,8592,47,280,0,8,179,8,171,9842,14677,6606,8071
2021,Calhoun County,Alabama,116425,56079,60346,92.9,6716,6632,7469,8000,7345,15004,14146,14400,8046,8084,12601,6320,1662,39.7,25411,94127,91014,86060,25084,20583,91014,43159,47855,90.2,20583,8850,11733,75.4,116425,113036,3389,113036,84775,25017,256,27,0,0,0,876,46,1,15,43,65,24,326,254,118,185,17,168,0,0,1927,3389,961,823,389,56,116425,87744,26352,1264,1585,349,2761,116425,4650,2860,923,107,760,111775,83073,24490,187,868,185,288,2684,121,2563,53112,89501,42470,47031
2021,Chambers County,Alabama,34834,16725,18109,92.4,2056,1815,2171,1878,2086,4352,3896,4671,2795,2286,4226,2114,488,42.0,7266,28363,27568,26459,8112,6828,27568,13077,14491,90.2,6828,3003,3825,78.5,34834,34423,411,34423,19827,13977,72,21,0,0,0,358,0,1,17,26,28,1,293,0,10,3,0,0,0,3,186,411,143,117,53,22,34834,20191,14158,220,427,3,246,34834,946,402,148,54,342,33888,19095,13963,65,358,3,41,363,12,351,16433,27158,12775,14383
2021,Cherokee County,Alabama,24975,12352,12623,97.9,1089,1445,1365,1449,1191,2473,2732,3465,2006,2050,3453,1702,555,46.7,4847,20798,20128,19411,6760,5710,20128,9929,10199,97.4,5710,2700,3010,89.7,24975,24361,614,24361,22846,1167,67,21,0,0,0,37,0,1,19,0,10,0,0,27,0,0,0,0,0,0,244,614,180,294,4,0,24975,23440,1347,381,41,20,360,24975,442,319,11,0,112,24533,22711,1154,57,27,0,16,568,90,478,14734,19801,9727,10074
2021,Chilton County,Alabama,44857,21876,22981,95.2,2710,3026,3063,2875,2649,5579,5698,5816,2910,3159,4475,2166,731,39.8,10745,34995,34112,32374,8953,7372,34112,16616,17496,95.0,7372,3375,3997,84.4,44857,42885,1972,42885,36385,3959,633,18,0,0,0,210,64,1,21,0,0,0,10,136,0,0,0,0,0,0,1698,1972,786,296,0,63,44857,38169,4920,1002,260,37,2488,44857,3567,3186,146,0,235,41290,35557,3959,18,210,0,293,1253,71,1182,19407,33048,16107,16941
2021,Choctaw County,Alabama,12792,6098,6694,91.1,700,531,865,869,546,1461,1204,1648,1071,981,1660,820,436,46.5,2586,10632,10206,9705,3442,2916,10206,4764,5442,87.5,2916,1277,1639,77.9,12792,12656,136,12656,7255,5284,7,7,0,0,0,15,15,1,23,0,0,0,0,0,0,0,0,0,0,0,95,136,21,37,33,15,12792,7346,5350,59,78,0,95,12792,138,21,0,6,111,12654,7221,5275,7,15,0,0,136,0,136,7132,10148,4757,5391
2021,Clarke County,Alabama,23346,11142,12204,91.3,1435,1215,1585,1543,1299,2561,2722,2979,1891,1508,2577,1477,554,42.6,5178,18834,18168,17400,5473,4608,18168,8503,9665,88.0,4608,2041,2567,79.5,23346,23039,307,23039,12131,10593,25,11,0,0,0,105,1,1,25,14,8,0,0,73,9,0,0,0,0,0,185,307,186,44,21,8,23346,12422,10795,85,134,0,225,23346,326,102,8,0,216,23020,12028,10582,25,105,0,150,130,9,121,11788,18107,8467,9640
2021,Clay County,Alabama,14184,6985,7199,97.0,744,699,1076,913,783,1595,1505,1884,1078,1046,1605,969,287,43.3,3017,11485,11167,10441,3448,2861,11167,5440,5727,95.0,2861,1268,1593,79.6,14184,13603,581,13603,11650,1883,23,0,0,0,0,35,0,1,27,14,21,0,0,0,0,0,0,0,0,0,12,581,111,148,6,5,14184,12117,2108,176,73,0,291,14184,443,380,0,5,58,13741,11406,1883,0,35,0,11,406,104,302,7009,11139,5440,5699
2021,Cleburne County,Alabama,15046,7368,7678,96.0,865,1042,951,860,769,1907,1645,2048,986,1085,1700,727,461,41.9,3443,11997,11603,11165,3597,2888,11603,5626,5977,94.1,2888,1272,1616,78.7,15046,14749,297,14749,14011,391,31,17,0,0,0,1,0,1,29,1,0,0,0,0,0,0,0,0,0,0,315,297,165,97,27,0,15046,14308,564,128,28,8,315,15046,398,279,11,1,107,14648,13902,391,21,1,0,36,297,0,297,6792,11475,5537,5938
