year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over.1,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over.1,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race.1,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and.1,race_total_population_one_race_american_indian_and.2,race_total_population_one_race_american_indian_and.3,race_total_population_one_race_american_indian_and.4,race_total_population_one_race_american_indian_and.5,race_total_population_one_race_american_indian_and.6,state_fips,county_fips,race_total_population_one_race_american_indian_and.7,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and.1,race_total_population_one_race_native_hawaiian_and.2,race_total_population_one_race_native_hawaiian_and.3,race_total_population_one_race_native_hawaiian_and.4,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races.1,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_.1,race_total_population_two_or_more_races_white_and_.2,race_total_population_two_or_more_races_white_and_.3,race_total_population_two_or_more_races_black_or_a,race_total_population_two_or_more_races_black_or_a.1,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe.1,race_alone_or_in_combination_with_one_or_more_othe.2,race_alone_or_in_combination_with_one_or_more_othe.3,race_alone_or_in_combination_with_one_or_more_othe.4,race_alone_or_in_combination_with_one_or_more_othe.5,race_alone_or_in_combination_with_one_or_more_othe.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_.1,citizen_voting_age_population_citizen_18_and_over_.2
2023,Autauga County,Alabama,59285,28669,30616,93.6,3430,3411,4338,3922,3417,7605,7902,7904,4364,3518,5459,3218,797,39.2,13926,47508,45359,43847,11491,9474,45359,21673,23686,91.5,9474,4136,5338,77.5,59285,56563,2722,56563,43616,11829,42,0,0,0,0,0,0,1,1,42,616,104,161,236,50,50,0,15,0,0,0,0,0,460,2722,585,410,317,1102,4,75,59285,46172,12687,466,1104,12,1708,59285,2188,1042,595,264,287,57097,42497,11829,42,599,0,218,1912,397,1515,24731,44761,21386,23375
2023,Baldwin County,Alabama,239945,117316,122629,95.7,12448,13152,16079,14603,11675,26412,29266,30466,15646,18872,30909,15607,4810,43.7,51128,195048,188817,181431,62873,51326,188817,90876,97941,92.8,51326,23808,27518,86.5,239945,226661,13284,226661,198721,19144,980,206,0,80,0,7,0,1,3,687,2272,326,488,305,194,175,157,627,104,15,26,63,0,5440,13284,2062,2502,1237,5572,80,399,239945,211303,22320,3768,4058,969,11596,239945,13393,7144,932,882,4435,226552,195347,19051,608,2259,78,961,8248,1594,6654,128518,184665,88784,95881
2023,Barbour County,Alabama,24757,12906,11851,108.9,1380,1684,1201,1425,1439,3400,3109,2949,1603,1686,2828,1660,393,40.7,5181,20253,19576,18706,5871,4881,19576,10442,9134,114.3,4881,2120,2761,76.8,24757,24026,731,24026,10891,11616,46,0,0,0,0,0,0,1,5,46,136,23,47,7,10,44,5,0,0,0,0,0,0,1337,731,125,151,10,349,20,13,24757,11573,11812,234,173,40,1715,24757,1490,1004,15,38,433,23267,10807,11611,34,136,0,298,381,58,323,11702,19201,10230,8971
2023,Bibb County,Alabama,22152,11824,10328,114.5,1069,1387,1221,1348,1196,3111,3059,2991,1661,1353,2175,1355,226,41.3,4458,18176,17694,16957,4498,3756,17694,9482,8212,115.5,3756,1647,2109,78.1,22152,21527,625,21527,16634,4587,175,20,0,0,0,0,0,1,7,155,51,28,0,0,0,23,0,0,0,0,0,0,0,80,625,93,210,105,167,0,13,22152,17239,4693,422,156,0,297,22152,744,352,134,0,258,21408,16333,4585,24,51,0,20,395,44,351,9090,17469,9352,8117
2023,Blount County,Alabama,59292,29934,29358,102.0,3397,3601,4159,3810,3334,7023,7118,7676,3972,4183,6501,3549,969,40.9,13738,47389,45554,43584,13557,11019,45554,22687,22867,99.2,11019,4939,6080,81.2,59292,56238,3054,56238,53062,747,235,7,0,25,0,0,0,1,9,203,51,18,6,27,0,0,0,0,88,0,81,7,0,2055,3054,329,584,79,1645,51,0,59292,55852,1225,985,310,408,3717,59292,5962,5427,43,130,362,53330,50374,747,60,51,88,134,1876,575,1301,24793,43866,21697,22169
2023,Bullock County,Alabama,10157,5554,4603,120.7,552,664,662,689,212,1681,1059,1446,705,670,1101,529,187,40.4,2105,8254,8052,7590,2237,1817,8052,4445,3607,123.2,1817,799,1018,-666666666.0,10157,9936,221,9936,2327,7234,0,0,0,0,0,0,0,1,11,0,47,0,0,0,0,0,0,47,0,0,0,0,0,328,221,18,10,0,132,0,0,10157,2487,7313,10,108,0,460,10157,577,328,0,0,249,9580,2143,7234,0,47,0,0,156,67,89,4554,7847,4292,3555
2023,Butler County,Alabama,18807,8656,10151,85.3,1066,1034,1362,1060,1121,2095,2256,2304,1166,1317,2337,1347,342,42.2,4219,15120,14588,13930,4835,4026,14588,6637,7951,83.5,4026,1679,2347,71.5,18807,18429,378,18429,9622,8411,69,0,0,0,0,0,0,1,13,69,249,190,0,17,0,42,0,0,0,0,0,0,0,78,378,121,66,43,133,5,2,18807,9993,8547,148,292,0,213,18807,300,243,6,0,51,18507,9531,8411,69,249,0,8,239,5,234,9841,14452,6543,7909
2023,Calhoun County,Alabama,116141,56151,59990,93.6,6504,6330,7411,8905,8364,14638,13983,13912,7629,7526,12821,6367,1751,39.0,24829,94387,91312,85003,25307,20939,91312,43410,47902,90.6,20939,8940,11999,74.5,116141,111826,4315,111826,82465,25515,302,131,34,0,0,0,0,1,15,137,925,91,79,165,42,250,92,206,198,161,37,0,0,2421,4315,1299,840,309,1062,43,185,116141,86322,27268,1498,1612,345,3850,116141,5150,3511,753,116,770,110991,81098,25029,188,858,198,444,3176,310,2866,53271,89916,42639,47277
2023,Chambers County,Alabama,34450,16080,18370,87.5,1985,1838,2141,1814,2188,4431,3755,4385,2540,2489,4037,2203,644,41.5,7141,27797,27309,26393,8246,6884,27309,12742,14567,87.5,6884,2898,3986,72.7,34450,33722,728,33722,19089,13697,16,0,0,8,0,0,0,1,17,8,201,0,7,0,6,156,0,32,3,0,0,0,3,716,728,117,181,163,182,28,0,34450,19768,13889,271,375,3,908,34450,1270,586,68,64,552,33180,18575,13684,8,201,3,93,616,80,536,16427,26764,12398,14366
2023,Cherokee County,Alabama,25224,12423,12801,97.0,1178,1098,1584,1342,1245,2734,2705,3335,1987,2013,3650,1874,479,47.4,4747,21189,20477,19850,7175,6003,20477,10084,10393,97.0,6003,2880,3123,92.2,25224,24272,952,24272,23017,948,103,8,4,0,0,0,0,1,19,91,39,0,0,6,0,0,27,6,0,0,0,0,0,165,952,428,329,6,170,0,0,25224,23958,1376,451,45,8,346,25224,437,343,6,0,88,24787,22884,942,95,33,0,17,816,117,699,14663,20158,9926,10232
2023,Chilton County,Alabama,45500,22245,23255,95.7,2758,3397,3026,2712,2860,5624,5760,5609,3132,2936,4538,2298,850,39.5,10966,35476,34534,33148,9435,7686,34534,16856,17678,95.4,7686,3411,4275,79.8,45500,43349,2151,43349,36815,4175,616,26,0,0,0,0,0,1,21,590,222,109,41,0,52,20,0,0,156,0,0,0,156,1365,2151,485,303,34,1106,82,98,45500,38763,4840,1044,260,156,2608,45500,4489,3861,62,6,560,41011,35082,4165,17,222,16,444,1065,157,908,19702,33441,16288,17153
2023,Choctaw County,Alabama,12525,5872,6653,88.3,674,593,759,818,683,1260,1178,1573,1100,905,1677,967,338,47.0,2492,10376,10033,9515,3432,2982,10033,4640,5393,86.0,2982,1288,1694,76.0,12525,11972,553,11972,7101,4782,15,0,0,0,0,0,0,1,23,15,22,22,0,0,0,0,0,0,0,0,0,0,0,52,553,176,127,38,26,106,0,12525,7501,5128,284,98,31,89,12525,136,5,21,0,110,12389,7084,4777,15,22,0,0,491,0,491,7164,9992,4628,5364
2023,Clarke County,Alabama,22802,10789,12013,89.8,1336,1334,1370,1457,1339,2555,2596,2849,1556,1708,2715,1382,605,42.5,4950,18497,17852,17178,5569,4702,17852,8318,9534,87.2,4702,2067,2635,78.4,22802,22406,396,22406,11749,10360,9,0,0,0,0,0,0,1,25,9,71,1,45,25,0,0,0,0,0,0,0,0,0,217,396,149,86,59,71,27,0,22802,12114,10540,126,134,0,288,22802,261,128,16,0,117,22541,11674,10340,9,71,0,162,285,8,277,11727,17747,8241,9506
2023,Clay County,Alabama,14188,6835,7353,93.0,744,868,817,794,706,1717,1632,1824,980,1196,1633,1020,257,43.8,2932,11542,11256,10697,3481,2910,11256,5470,5786,94.5,2910,1264,1646,76.8,14188,13491,697,13491,11424,1840,19,0,0,0,0,0,0,1,27,19,47,0,0,6,0,0,0,41,0,0,0,0,0,161,697,141,106,15,280,0,101,14188,11966,2136,125,116,0,542,14188,451,343,0,18,90,13737,11256,1840,19,47,0,27,548,232,316,7072,11191,5453,5738
2023,Cleburne County,Alabama,15254,7652,7602,100.7,900,932,921,836,804,1995,1645,1968,1017,1119,1825,933,359,42.3,3327,12384,11927,11381,3757,3117,11927,5961,5966,99.9,3117,1471,1646,89.4,15254,15020,234,15020,14158,598,42,0,0,4,0,0,0,1,29,38,16,0,2,0,14,0,0,0,0,0,0,0,0,206,234,12,89,0,111,0,10,15254,14382,632,131,16,12,327,15254,306,234,7,0,65,14948,14117,598,27,16,0,42,148,35,113,6853,11892,5940,5952
2023,Coffee County,Alabama,54231,26968,27263,98.9,3339,3179,4208,3521,3080,6734,7257,7027,2961,3648,5540,2941,796,38.8,13045,42821,41186,39306,11429,9277,41186,20252,20934,96.7,9277,4140,5137,80.6,54231,49869,4362,49869,38780,8991,312,23,13,13,0,0,0,1,31,263,509,15,42,59,36,188,128,41,49,0,0,23,26,1228,4362,860,860,745,1327,59,48,54231,42822,10106,1457,1446,157,2779,54231,5096,2564,1102,228,1202,49135,36827,8623,223,504,49,96,2813,169,2644,24399,39839,19840,19999
2023,Colbert County,Alabama,57648,27784,29864,93.0,3246,3390,3616,3300,3118,7038,6965,7300,4051,4024,6818,3669,1113,42.3,12311,46791,45337,43313,14186,11600,45337,21435,23902,89.7,11600,5037,6563,76.7,57648,55449,2199,55449,44984,9103,94,0,0,0,0,0,0,1,33,94,229,103,15,64,22,0,0,25,19,0,19,0,0,1020,2199,449,677,424,392,0,16,57648,47010,9755,808,848,28,1473,57648,1890,1460,78,54,298,55758,44648,9103,85,229,19,101,1573,57,1516,27887,44882,21182,23700
2023,Conecuh County,Alabama,11411,5297,6114,86.6,608,671,689,572,744,1181,1132,1321,674,1045,1506,1041,227,46.3,2305,9391,9106,8674,3456,2774,9106,4313,4793,90.0,2774,1262,1512,83.5,11411,11025,386,11025,5730,5221,17,0,0,0,0,0,0,1,35,17,27,0,0,27,0,0,0,0,0,0,0,0,0,30,386,80,86,7,22,0,169,11411,5932,5492,103,56,0,221,11411,101,25,39,0,37,11310,5713,5182,17,27,0,13,358,169,189,6444,9073,4280,4793
2023,Coosa County,Alabama,10323,5289,5034,105.1,496,490,460,478,464,1018,1040,1478,970,871,1533,777,248,50.3,1742,8752,8581,8227,3050,2558,8581,4306,4275,100.7,2558,1239,1319,93.9,10323,9853,470,9853,6664,3065,13,0,0,0,0,0,0,1,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,111,470,10,102,41,110,6,196,10323,6932,3282,126,41,0,417,10323,245,34,195,0,16,10078,6640,3065,13,0,0,90,270,106,164,6042,8561,4286,4275
2023,Covington County,Alabama,37647,18172,19475,93.3,2185,1995,2675,2394,1939,4111,4320,4473,2613,2694,4666,2400,1182,42.8,8319,30235,29328,27782,9810,8248,29328,13901,15427,90.1,8248,3614,4634,78.0,37647,36221,1426,36221,31325,4417,83,0,0,0,0,0,0,1,39,83,151,43,4,19,84,0,1,0,0,0,0,0,0,245,1426,557,385,76,297,12,0,37647,32721,5007,512,257,57,562,37647,727,392,127,0,208,36920,31061,4413,70,151,0,81,1144,50,1094,18676,29121,13805,15316
2023,Crenshaw County,Alabama,13144,6366,6778,93.9,714,836,942,811,737,1558,1428,1629,749,1122,1600,744,274,42.4,3016,10520,10128,9687,3328,2618,10128,4832,5296,91.2,2618,1148,1470,78.1,13144,12648,496,12648,9280,3071,28,0,0,0,0,22,0,1,41,6,153,20,0,63,0,70,0,0,5,5,0,0,0,111,496,239,126,59,72,0,0,13144,9776,3310,154,212,5,183,13144,236,194,3,0,39,12908,9218,3061,28,133,5,5,458,34,424,6562,10021,4766,5255
2023,Cullman County,Alabama,89463,44284,45179,98.0,5217,5698,5812,5452,4884,11153,10638,11459,6206,6000,9959,5461,1524,41.1,20132,71682,69331,66211,20619,16944,69331,34143,35188,97.0,16944,7575,9369,80.9,89463,85013,4450,85013,81402,958,312,123,5,0,0,0,0,1,43,184,499,0,7,222,42,12,209,7,19,0,4,0,15,1823,4450,531,965,138,2646,2,36,89463,85756,1557,1327,695,99,4531,89463,4346,3454,179,111,602,85117,80673,957,189,499,19,99,2681,1012,1669,39538,68125,33582,34543
2023,Dale County,Alabama,49516,24398,25118,97.1,3295,3434,2915,2920,3120,6941,6003,5629,3104,3263,5362,2805,725,38.0,11518,39224,37998,36410,10934,8892,37998,18451,19547,94.4,8892,4074,4818,84.6,49516,46726,2790,46726,33971,10504,333,89,0,0,0,0,0,1,45,244,654,3,100,112,57,134,33,215,37,0,12,21,4,1227,2790,694,554,271,970,49,26,49516,36655,11362,1049,1015,114,2267,49516,3431,2006,952,124,349,46085,32948,10266,140,642,9,141,1939,320,1619,22910,37296,18177,19119
2023,Dallas County,Alabama,37536,17409,20127,86.5,2226,2215,2826,2570,2192,4214,4210,4262,2474,2924,4530,2155,738,40.3,8946,29643,28590,27084,8933,7423,28590,12760,15830,80.6,7423,3179,4244,74.9,37536,37036,500,37036,10207,26467,93,0,0,0,0,3,0,1,47,90,226,119,0,0,0,0,86,21,0,0,0,0,0,43,500,315,162,7,6,10,0,37536,10697,26792,265,233,0,49,37536,340,172,155,0,13,37196,10073,26389,93,226,0,22,393,6,387,18949,28342,12671,15671
2023,DeKalb County,Alabama,71946,35969,35977,100.0,4250,4182,5695,5053,4302,8591,8687,9286,4308,5085,7656,3674,1177,39.6,17442,56499,54504,52066,15650,12507,54504,26966,27538,97.9,12507,5725,6782,84.4,71946,67825,4121,67825,58471,923,1059,86,0,486,0,1,0,1,49,486,145,25,0,53,6,0,54,7,418,3,392,0,23,6809,4121,486,1592,36,1695,0,91,71946,62375,1573,2760,261,458,8723,71946,11987,6243,564,112,5068,59959,55856,923,258,139,45,397,2341,141,2200,30853,50390,24798,25592
2023,Elmore County,Alabama,88669,43186,45483,94.9,4782,5147,5755,5657,5412,12412,11587,11602,6245,5826,8699,4596,949,38.9,19255,71576,69414,66696,18061,14244,69414,33242,36172,91.9,14244,6380,7864,81.1,88669,85202,3467,85202,64984,18685,204,0,6,0,0,0,0,1,51,198,604,81,9,237,10,64,0,203,3,0,0,3,0,722,3467,1217,530,330,1211,37,25,88669,68348,20038,843,973,3,2047,88669,2917,1994,116,24,783,85752,63908,18627,174,604,3,83,2353,219,2134,37085,68368,32723,35645
2023,Escambia County,Alabama,36695,18346,18349,100.0,2138,2217,2561,2564,1716,4741,4590,4475,2301,2478,4101,2032,781,40.5,8353,29350,28342,26978,8304,6914,28342,14091,14251,98.9,6914,2926,3988,73.4,36695,35286,1409,35286,22378,11255,1105,0,0,0,0,0,0,1,53,1105,108,0,72,21,0,0,6,9,0,0,0,0,0,440,1409,136,529,1,162,21,11,36695,23733,11938,2175,123,21,626,36695,835,471,178,0,186,35860,22109,11198,1085,108,0,90,1270,92,1178,16759,28278,14067,14211
2023,Etowah County,Alabama,103208,50001,53207,94.0,5947,5849,6688,6018,6136,12530,12197,13818,7178,6728,12316,6112,1691,41.8,22487,83351,80721,77181,24316,20119,80721,38473,42248,91.1,20119,8900,11219,79.3,103208,99075,4133,99075,79768,15529,277,6,1,85,0,0,0,1,55,185,708,182,70,210,14,1,121,110,44,0,42,0,2,2749,4133,1257,940,260,1280,50,156,103208,83666,17136,1445,995,59,4294,103208,5134,2631,534,104,1865,98074,78922,15487,115,702,14,291,2543,275,2268,47487,79319,37719,41600
2023,Fayette County,Alabama,16173,7863,8310,94.6,786,858,1134,1349,826,1721,1887,1835,1093,1189,2049,1160,286,42.8,3452,13235,12721,11701,4140,3495,12721,5955,6766,88.0,3495,1583,1912,82.8,16173,15749,424,15749,13662,1983,29,0,0,0,0,0,0,1,57,29,9,0,0,0,0,0,9,0,24,24,0,0,0,42,424,155,90,0,70,0,32,16173,14054,2184,133,72,87,144,16173,184,171,2,0,11,15989,13478,1983,29,9,24,42,424,102,322,7798,12721,5955,6766
2023,Franklin County,Alabama,31978,15776,16202,97.4,2162,1933,2542,2375,1810,3768,3763,4072,2340,1720,3107,1680,706,38.6,8025,24865,23953,22697,6576,5493,23953,11785,12168,96.9,5493,2419,3074,78.7,31978,30125,1853,30125,24208,1287,274,69,0,75,0,0,0,1,59,130,37,18,19,0,0,0,0,0,6,0,6,0,0,4313,1853,193,381,73,1164,0,0,31978,26020,1481,686,133,13,5499,31978,6341,3129,132,147,2933,25637,23424,1287,29,37,6,82,772,195,577,13965,22491,10972,11519
2023,Geneva County,Alabama,26726,13107,13619,96.2,1434,1805,1619,1545,1354,2973,3101,3563,1873,2003,3215,1628,613,44.0,5910,21426,20816,19945,6529,5456,20816,10072,10744,93.7,5456,2512,2944,85.3,26726,25584,1142,25584,22539,2311,65,0,0,0,0,0,0,1,61,65,166,0,0,13,0,153,0,0,4,0,0,0,4,499,1142,241,393,1,244,0,0,26726,23641,2639,542,202,183,775,26726,1353,1057,148,15,133,25373,21605,2252,51,166,4,344,951,93,858,12555,20573,9970,10603
2023,Greene County,Alabama,7589,3649,3940,92.6,307,636,427,382,563,858,674,744,480,700,1046,566,206,44.4,1622,6108,5967,5794,2202,1818,5967,2778,3189,87.1,1818,762,1056,72.2,7589,7584,5,7584,1360,6186,9,0,0,0,0,0,0,1,63,9,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,3,0,0,7589,1365,6188,11,0,0,32,7589,57,51,0,3,3,7532,1338,6183,9,0,0,0,2,0,2,4258,5959,2778,3181
2023,Hale County,Alabama,14749,7045,7704,91.4,969,1403,644,981,784,1645,1738,1583,1082,984,1763,781,392,41.0,3515,11517,11234,10648,3564,2936,11234,5164,6070,85.1,2936,1310,1626,80.6,14749,14030,719,14030,5666,8225,39,0,0,0,0,0,0,1,65,39,8,0,0,0,0,8,0,0,0,0,0,0,0,92,719,208,27,0,224,0,65,14749,6140,8693,81,188,0,381,14749,129,104,0,0,25,14620,5666,8225,39,8,0,0,682,252,430,7514,11213,5154,6059
2023,Henry County,Alabama,17450,8514,8936,95.3,848,982,1038,1046,814,1936,2055,2254,1031,1373,2480,1222,371,45.0,3570,14280,13880,13237,4765,4073,13880,6662,7218,92.3,4073,1815,2258,80.4,17450,17007,443,17007,12385,4394,64,0,0,0,0,0,0,1,67,64,102,41,0,0,0,0,61,0,9,0,9,0,0,53,443,38,88,12,204,0,0,17450,12828,4516,238,117,21,262,17450,374,224,105,0,45,17076,12236,4369,64,102,9,0,296,62,234,9151,13843,6625,7218
2023,Houston County,Alabama,107628,51690,55938,92.4,6706,6620,7116,6663,6033,13572,13572,13300,7079,7178,11729,5994,2066,40.3,24812,85535,82816,78955,23961,19789,82816,38802,44014,88.2,19789,8623,11166,77.2,107628,102594,5034,102594,70462,29302,262,8,0,35,0,2,0,1,69,217,1077,268,169,136,40,104,180,180,49,9,5,0,35,1442,5034,1058,809,457,2094,85,87,107628,75193,30800,1355,1672,212,3783,107628,4680,2668,588,223,1201,102948,68699,29163,210,1057,26,567,3226,648,2578,49774,81160,37807,43353
2023,Jackson County,Alabama,52839,26138,26701,97.9,2773,2659,3546,3033,2938,5993,6314,6983,3846,3750,6559,3649,796,43.4,10983,43210,41856,40256,13279,11004,41856,20460,21396,95.6,11004,4945,6059,81.6,52839,50435,2404,50435,47005,1607,358,0,0,41,0,0,0,1,71,317,173,0,22,43,25,11,66,6,25,0,9,0,16,1267,2404,422,1285,164,288,58,27,52839,49238,2170,1822,371,34,1673,52839,1777,949,214,30,584,51062,46787,1589,302,173,25,81,2105,102,2003,24797,41366,20156,21210
2023,Jefferson County,Alabama,669744,318051,351693,90.4,41493,42505,44175,44152,42826,94922,86785,79378,39930,43396,67483,30044,12655,37.8,154090,533233,515654,488307,136496,110182,515654,239670,275984,86.8,110182,46557,63625,73.2,669744,644296,25448,644296,329852,284390,1510,566,20,92,0,9,0,1,73,823,12202,4403,3416,619,254,1164,785,1561,188,26,55,23,84,16154,25448,5068,3005,1542,10737,1073,1178,669744,351804,293223,7044,15139,815,29322,669744,35103,21604,2150,851,10498,634641,321127,283468,469,12148,144,2857,14428,2698,11730,309542,498351,229886,268465
2023,Lamar County,Alabama,13809,6772,7037,96.2,919,716,911,767,670,1517,1531,1786,823,1106,1715,1100,248,44.5,3085,10986,10724,10350,3703,3063,10724,5219,5505,94.8,3063,1408,1655,85.1,13809,13372,437,13372,11954,1282,51,0,0,0,0,0,0,1,75,51,20,6,0,13,0,0,0,1,0,0,0,0,0,65,437,266,60,2,106,0,0,13809,12391,1551,114,22,0,171,13809,255,99,107,0,49,13554,11857,1275,51,20,0,20,331,0,331,7107,10682,5218,5464
2023,Lauderdale County,Alabama,95037,45668,49369,92.5,4764,4994,5441,6722,8185,11256,10646,11172,6147,6538,11136,6241,1795,40.7,18548,78274,76489,70870,23082,19172,76489,36276,40213,90.2,19172,8418,10754,78.3,95037,90596,4441,90596,79325,9205,301,3,0,17,0,0,0,1,77,281,578,186,102,112,53,43,51,31,15,15,0,0,0,1172,4441,1177,695,509,1805,10,59,95037,83644,10567,1115,1132,70,3139,95037,3163,2234,61,300,568,91874,78618,9058,168,577,15,283,3155,722,2433,44801,74995,35629,39366
2023,Lawrence County,Alabama,33182,16321,16861,96.8,1802,1924,2194,1977,1905,3957,3794,4438,2443,2520,3662,1948,618,42.8,7222,26762,25960,25039,7493,6228,25960,12562,13398,93.8,6228,2821,3407,82.8,33182,30608,2574,30608,25239,3292,1339,0,0,0,0,0,0,1,79,1339,145,2,0,5,13,47,67,11,0,0,0,0,0,593,2574,318,1648,10,362,21,0,33182,27724,3788,3173,236,20,982,33182,953,560,115,77,201,32229,25064,3292,1339,145,0,41,2348,202,2146,15317,25720,12463,13257
2023,Lee County,Alabama,177663,87729,89934,97.5,9726,10296,10953,15666,21147,24315,22063,20691,9958,9878,14320,6282,2368,33.6,37567,144668,140096,124492,28977,22970,140096,68411,71685,95.4,22970,10351,12619,82.0,177663,170986,6677,170986,120347,39670,505,155,0,110,0,0,0,1,81,240,7605,1000,1828,196,133,3436,393,619,64,0,64,0,0,2795,6677,1468,931,596,2513,47,109,177663,126585,41992,2013,8642,223,5904,177663,9335,3821,913,551,4050,168328,117016,38972,130,7495,64,703,3948,407,3541,77509,133568,64688,68880
2023,Limestone County,Alabama,107577,53922,53655,100.5,5887,6741,6886,6552,5917,14098,15381,14685,7182,7704,10087,5156,1301,40.5,23953,86785,83624,80132,21622,16544,83624,41896,41728,100.4,16544,7430,9114,81.5,107577,100797,6780,100797,81012,13720,1123,362,28,0,0,0,0,1,83,733,1969,647,417,185,130,426,138,26,94,0,90,4,0,2879,6780,1892,1015,502,2501,19,51,107577,87497,16011,2562,2779,426,5609,107577,7785,4956,718,310,1801,99792,79087,13543,340,1919,44,144,4715,878,3837,43487,81803,41001,40802
2023,Lowndes County,Alabama,10008,4801,5207,92.2,575,587,687,649,511,1194,1075,1188,754,781,1156,641,210,42.7,2199,8041,7809,7483,2406,2007,7809,3636,4173,87.1,2007,859,1148,74.8,10008,9911,97,9911,2451,7460,0,0,0,0,0,0,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,22,3,0,30,3,0,10008,2529,7508,29,16,16,30,10008,27,12,0,0,15,9981,2449,7447,0,0,0,0,85,18,67,4827,7753,3614,4139
2023,Macon County,Alabama,18951,8709,10242,85.0,920,539,977,2630,2224,1914,1424,1885,1228,1283,2378,1143,406,37.8,2944,16337,16007,13028,4789,3927,16007,7248,8759,82.7,3927,1624,2303,70.5,18951,18214,737,18214,3243,14838,7,0,0,0,0,0,0,1,87,7,53,0,0,0,3,2,11,37,0,0,0,0,0,73,737,153,98,13,205,52,49,18951,3875,15255,307,70,4,340,18951,372,205,91,25,51,18579,3164,14812,7,50,0,21,525,42,483,9664,15851,7112,8739
2023,Madison County,Alabama,397135,195432,201703,96.9,22629,23597,24974,26586,26790,56207,50830,48627,27443,28056,36433,18514,6449,38.2,86354,320186,310781,293344,76644,61396,310781,151446,159335,95.0,61396,27356,34040,80.4,397135,372540,24595,372540,255048,96369,2224,348,148,176,5,0,0,1,89,1547,10270,1850,2495,915,747,1604,1022,1637,274,84,79,36,75,8355,24595,4752,3620,2994,9063,940,565,397135,277544,104332,8049,14500,1038,18793,397135,25948,13396,3915,772,7865,371187,247502,95160,1635,10097,201,1127,15465,2231,13234,174709,300399,145779,154620
2023,Marengo County,Alabama,19027,9012,10015,90.0,1194,915,1432,1404,1150,1855,2243,2332,1166,1494,2251,1076,515,41.1,4286,15277,14741,13897,4546,3842,14741,6813,7928,85.9,3842,1727,2115,81.7,19027,18616,411,18616,8571,9768,74,28,0,0,0,0,0,1,91,46,64,59,0,5,0,0,0,0,0,0,0,0,0,139,411,156,90,0,114,0,38,19027,8931,9962,177,77,0,291,19027,452,333,44,0,75,18575,8475,9767,46,64,0,0,223,14,209,9837,14615,6766,7849
